Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salario_2022/2023,Weight,Height
Jarrett Culver,SF,23,ATL,10,1,13.7,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,0.407,0.9,1.3,0.692,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,260295,,
Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3.0,3.6,0.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,10552800,99.0,"6'7"""
Seth Curry,SG,32,BRK,61,7,19.9,3.4,7.4,0.463,1.5,3.8,0.405,1.9,3.6,0.525,0.568,0.8,0.9,0.927,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2,8496653,83.0,"6'1"""
Stephen Curry,PG,34,GSW,56,56,34.7,10.0,20.2,0.493,4.9,11.4,0.427,5.1,8.8,0.579,0.614,4.6,5.0,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,48070014,83.0,"6'2"""
Dyson Daniels,PG,19,NOP,59,11,17.7,1.5,3.5,0.418,0.5,1.5,0.314,1.0,2.1,0.492,0.483,0.4,0.7,0.65,0.6,2.6,3.2,2.3,0.7,0.2,1.0,1.7,3.8,5508600,90.0,"6'7"""
Anthony Davis,C,29,LAL,56,54,34.0,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,0.573,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,2.6,25.9,37980720,114.0,"6'10"""
Johnny Davis,SG,20,WAS,28,5,15.1,2.4,6.1,0.386,0.6,2.5,0.243,1.8,3.6,0.485,0.436,0.5,1.0,0.519,0.4,2.0,2.3,1.0,0.4,0.3,0.6,1.7,5.8,4810320,88.0,"6'4"""
Terence Davis,SG,25,SAC,64,5,13.1,2.4,5.7,0.423,1.4,3.8,0.366,1.0,1.9,0.537,0.545,0.5,0.7,0.791,0.3,1.9,2.2,1.0,0.7,0.2,0.8,1.6,6.7,4000000,90.0,"6'4"""
JD Davison,SG,20,BOS,12,0,5.5,0.7,1.6,0.421,0.2,0.6,0.286,0.5,1.0,0.5,0.474,0.1,0.2,0.5,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6,508891,88.0,"6'1"""
Darius Days,SF,23,HOU,4,0,6.3,1.3,3.0,0.417,0.8,2.5,0.3,0.5,0.5,1.0,0.542,0.5,0.5,1.0,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8,508891,110.0,"6'7"""
